"ID","east","north","price","fl_area"
"729",530500,173500,87000,63
"730",550000,191700,109000,100
"731",527300,175700,78000,85
"732",533800,165500,95500,94
"733",544800,186900,57000,101
"734",534300,175000,50000,58
"735",544500,165900,123500,118
"736",505800,191000,60000,49
"737",526000,174800,277500,110
"738",515600,170800,69950,52
"739",525700,167600,115000,101
"740",542200,165000,280000,200
"741",520400,178200,114000,55
"742",521800,192300,79950,70
"743",526100,189600,89000,85
"744",519600,166300,140000,128
"745",524400,181500,132500,50
"746",527800,173200,206500,115
"747",509400,191300,170000,129
"748",532100,192300,78000,60
"749",552200,176500,104995,78
"750",537700,194300,145000,115
"751",526300,185800,360000,112
"752",530800,187400,90000,71
"753",519800,179700,157000,90
"754",522800,174900,153000,86
"755",513000,184800,67500,73
"756",524400,166700,138000,132
"757",525100,172700,150500,82
"758",525500,184300,127500,68
"759",526800,179500,252000,110
"760",515400,191500,80000,67
"761",523000,182800,90000,58
"762",536300,175100,97000,127
"763",534100,194900,66000,75
"764",522100,179500,115153,62
"765",528300,171300,116000,89
"766",525400,188100,360000,160
"767",525400,181000,375000,117
"768",547400,177400,118000,142
"769",549100,187300,75000,100
"770",537300,170100,107000,72
"771",529800,191500,76500,75
"772",523500,175300,350000,200
"773",534500,170000,50000,81
"774",523100,191700,84500,74
"775",515600,172200,119000,74
"776",529000,187600,375000,250
"777",511800,172900,56000,50
"778",541700,158800,123000,101
"779",533800,173900,345000,199
"780",541400,191900,106000,77
"781",510900,190300,110000,114
"782",537400,190900,87000,92
"783",524200,196500,120000,101
"784",539700,177400,70000,66
"785",510400,180100,91500,102
"786",527900,170800,140000,139
"787",529400,173000,143000,109
"788",525100,190500,69000,55
"789",516600,174200,172500,78
"790",521400,168500,52500,52
"791",527300,166900,79250,68
"792",510400,177000,59950,78
"793",542800,188800,144000,116
"794",521200,189100,128000,123
"795",534800,183200,85000,51
"796",521400,175600,160000,92
"797",515300,175600,138500,103
"798",536400,188300,80000,85
"799",513600,180900,81000,85
"800",508400,182300,147000,103
"801",531300,173400,62000,34
"802",526400,191600,195500,125
"803",519700,189400,111000,84
"804",540500,188700,130000,91
"805",525300,180900,105000,30
"806",524900,172900,290000,162
"807",548700,177400,119500,106
"808",532100,166600,39000,65
"809",510400,186300,87500,63
"810",528100,176700,217500,100
"811",535500,171500,191000,238
"812",522300,184900,84000,83
"813",536000,173700,74000,77
"814",526000,171000,73000,70
"815",527400,174200,101000,43
"816",509900,187500,280000,195
"817",514500,189900,82950,68
"818",536100,168900,59999,57
"819",538700,181300,94000,103
"820",516200,183100,69250,74
"821",531000,176700,132000,80
"822",538000,172400,148000,159
"823",539200,167800,64000,53
"824",532700,171800,93000,124
"825",513200,174900,92000,104
"826",527400,168400,52500,75
"827",524700,176700,136000,62
"828",534600,180100,65000,38
"829",530100,191600,80000,83
"830",547100,177500,100000,90
"831",525100,173300,110000,140
"832",510000,185800,100000,75
"833",513300,181700,86500,75
"834",526800,184400,185000,75
"835",526900,191600,100000,80
"836",533700,168300,43000,42
"837",543900,172700,99000,107
"838",538300,175000,59995,64
"839",549700,191800,113000,137
"840",516900,174200,98000,53
"841",515000,185600,134950,105
"842",523700,196900,142500,97
"843",511900,171600,76950,96
"844",534300,184000,107000,108
"845",514200,176100,69000,81
"846",509200,173700,117000,156
"847",533600,165800,69500,57
"848",553400,190400,69000,84
"849",510700,172700,61000,51
"850",519900,170400,71500,66
"851",528500,192700,114950,89
"852",532400,162700,80000,78
"853",518300,170300,140000,85
"854",546700,173700,74000,59
"855",516700,170800,370000,148
"856",523700,189300,121000,95
"857",553000,185100,96500,102
"858",543000,189900,119000,110
"859",528900,168500,80000,107
"860",524000,179800,225000,76
"861",549900,189400,94000,126
"862",532000,192300,80000,59
"863",526200,170000,108000,85
"864",540000,185500,90000,110
"865",534600,173400,75000,58
"866",522900,174800,168000,100
"867",512200,184600,59000,97
"868",520200,167300,195000,175
"869",531000,193100,70000,54
"870",518800,169100,55000,100
"871",524600,180700,165000,65
"872",517100,173900,460000,188
"873",517900,180200,182000,78
"874",525200,184000,97500,57
"875",531300,184200,370000,161
"876",527900,164200,120000,103
"877",535700,174000,133000,122
"878",527700,170200,102000,110
"879",505900,180400,69500,66
"880",530700,183700,225000,125
"881",526100,192600,112500,75
"882",530800,189100,49500,31
"883",540200,171300,87500,78
"884",533500,166900,78500,85
"885",517400,180600,106500,57
"886",530000,170500,90000,85
"887",514900,182900,87500,75
"888",552800,186000,73000,71
"889",507400,183300,109000,74
"890",536500,182200,128000,117
"891",532600,185700,200000,187
"892",526200,165300,123000,100
"893",545800,191800,100000,79
"894",513800,173700,165000,116
"895",539700,169000,102000,99
"896",526100,170700,117500,64
"897",516900,181000,172500,90
"898",530200,185300,137000,83
"899",535600,185800,109000,103
"900",532900,185900,86000,46
"901",543700,188600,109000,95
"902",533500,168700,105000,126
"903",511900,179100,69000,87
"904",531500,188400,75950,72
"905",537900,182500,55000,83
"906",534200,185200,69995,62
"907",519200,191900,185000,170
"908",528900,163300,68950,102
"909",533900,196300,99995,100
"910",542200,191100,90000,86
"911",540200,169000,67000,61
"912",525700,170100,160000,90
"913",527700,194400,74000,49
"914",512100,186000,112500,74
"915",510100,172900,68950,58
"916",529300,189100,399950,182
"917",530800,172400,79995,75
"918",539100,194000,138000,108
"919",553400,189100,96000,114
"920",537000,175600,58500,70
"921",525300,182100,92000,52
"922",544500,187400,105000,107
"923",540100,173200,109000,125
"924",535500,178600,49950,99
"925",514200,187100,58000,57
"926",528800,172400,132500,107
"927",532600,163000,76750,80
"928",528000,169400,126000,145
"929",523700,182600,80000,55
"930",540600,185400,60000,143
"931",551200,188200,39000,55
"932",538400,194000,152000,146
"933",527700,175700,155000,87
"934",532400,170100,47000,60
"935",535700,173900,50000,63
"936",534400,186400,200000,260
"937",545200,164000,124000,89
"938",522100,185000,63950,60
"939",528700,164800,134000,106
"940",532700,178700,57500,80
"941",546700,183900,51500,72
"942",525400,177300,148000,76
"943",534100,174900,82000,60
"944",532500,171800,83000,83
"945",518400,167300,45000,33
"946",530500,188900,117500,79
"947",520100,181000,116000,64
"948",541400,159700,85500,100
"949",548700,186600,53500,75
"950",525400,192700,250000,182
"951",511400,173100,86000,96
"952",536600,176100,73000,55
"953",528600,191400,71000,53
"954",532000,187900,94000,105
"955",519500,169200,198000,127
"956",539500,166400,172000,140
"957",510300,181000,86500,102
"958",529900,175300,129000,64
"959",509600,172500,90000,87
"960",531000,174400,75000,59
"961",543500,169700,98950,65
"962",542200,187900,115000,94
"963",532400,176400,36950,26
"964",531900,186000,90000,53
"965",547700,188900,133500,103
"966",527100,176300,55500,55
"967",536800,188800,76500,100
"968",523600,185400,75000,67
"969",509800,177300,122000,123
"970",526600,190800,78000,61
"971",525100,176500,850000,246
"972",540000,191000,171000,129
"973",509200,182000,143000,117
"974",535000,185900,160000,269
"975",533000,188000,98000,100
"976",517100,182300,184000,82
"977",529700,193700,193000,106
"978",517300,187600,68000,60
"979",553800,185900,185000,135
"980",532600,183600,72100,40
"981",552700,185800,64500,90
"982",508500,178900,79000,71
"983",530900,186900,115000,100
"984",525800,177800,144000,112
"985",525400,163500,54000,54
"986",523400,188700,135000,83
"987",541100,192400,247000,150
"988",542400,188800,127000,104
"989",524300,176500,158000,67
"990",525400,180800,82500,43
"991",539800,185800,65000,70
"992",541000,171300,130000,109
"993",540100,178200,129000,110
"994",532900,184900,135000,79
"995",527700,172100,70000,54
"996",527800,192000,143000,125
